episode_id,node_id,entry_time_ns,exit_time_ns,exposure_duration_ns,left_censored,right_censored
1,8,0,42000000000,42000000000,true,false
2,9,0,528000000000,528000000000,true,false
3,21,0,60000000000,60000000000,true,false
4,22,0,546000000000,546000000000,true,false
5,34,0,78000000000,78000000000,true,false
6,35,0,564000000000,564000000000,true,false
7,47,0,96000000000,96000000000,true,false
8,48,0,582000000000,582000000000,true,false
9,60,0,114000000000,114000000000,true,false
10,61,0,600000000000,600000000000,true,false
11,73,0,132000000000,132000000000,true,false
12,74,0,618000000000,618000000000,true,false
13,86,0,150000000000,150000000000,true,false
14,87,0,636000000000,636000000000,true,false
15,99,0,168000000000,168000000000,true,false
16,100,0,654000000000,654000000000,true,false
17,112,0,186000000000,186000000000,true,false
18,113,0,672000000000,672000000000,true,false
19,125,0,204000000000,204000000000,true,false
20,126,0,690000000000,690000000000,true,false
21,138,0,222000000000,222000000000,true,false
22,139,0,708000000000,708000000000,true,false
23,151,0,240000000000,240000000000,true,false
24,152,0,726000000000,726000000000,true,false
25,164,0,258000000000,258000000000,true,false
26,165,0,744000000000,744000000000,true,false
27,177,0,187000000000,187000000000,true,false
28,178,0,762000000000,762000000000,true,false
29,191,0,132000000000,132000000000,true,false
30,23,51000000000,1032000000000,981000000000,false,false
31,36,69000000000,1050000000000,981000000000,false,false
32,49,87000000000,1068000000000,981000000000,false,false
33,62,105000000000,1086000000000,981000000000,false,false
34,75,123000000000,1104000000000,981000000000,false,false
35,88,141000000000,1122000000000,981000000000,false,false
36,101,159000000000,1140000000000,981000000000,false,false
37,114,177000000000,1158000000000,981000000000,false,false
38,127,195000000000,1176000000000,981000000000,false,false
39,140,213000000000,1194000000000,981000000000,false,false
40,10,228000000000,1014000000000,786000000000,false,false
41,153,231000000000,1212000000000,981000000000,false,false
42,166,249000000000,1230000000000,981000000000,false,false
43,179,267000000000,1248000000000,981000000000,false,false
44,192,285000000000,934000000000,649000000000,false,false
45,24,537000000000,1518000000000,981000000000,false,false
46,37,555000000000,1536000000000,981000000000,false,false
47,50,573000000000,1554000000000,981000000000,false,false
48,63,591000000000,1572000000000,981000000000,false,false
49,76,609000000000,1590000000000,981000000000,false,false
50,89,627000000000,1608000000000,981000000000,false,false
51,102,645000000000,1626000000000,981000000000,false,false
52,115,663000000000,1644000000000,981000000000,false,false
53,128,681000000000,1662000000000,981000000000,false,false
54,141,699000000000,1680000000000,981000000000,false,false
55,154,717000000000,1698000000000,981000000000,false,false
56,167,735000000000,1716000000000,981000000000,false,false
