constellation,node_count,candidate_count,window_index,window_offset_s,interval_s,snapshot_count,reference_unique_edge_set_count,reference_edge_transition_count,held_unique_edge_set_count,absolute_edge_state_errors,normalized_edge_state_disagreement,endpoint_mismatch_seconds,missed_active_edges,spurious_active_edges,missed_transition_count,mean_event_timing_error_s,p95_event_timing_error_s,max_event_timing_error_s,maximum_stale_duration_s,component_count_mismatch_seconds,unreachable_pair_error_sum,max_unreachable_pair_error,reference_unique_ecmp_candidate_fingerprint_count,held_unique_ecmp_candidate_fingerprint_count,exact_candidate_match_ratio,candidate_mismatch_pair_seconds,candidate_count_mismatch_pair_seconds,shortest_hop_mismatch_pair_seconds,reachability_mismatch_pair_seconds,mean_candidate_jaccard,p05_candidate_jaccard,minimum_candidate_jaccard,reference_ecmp_pair_fraction,held_ecmp_pair_fraction,routing_mode,reference_selected_next_hop_change_count,selected_next_hop_exact_match_ratio,selected_next_hop_mismatch_count,selected_candidate_survival_ratio,selected_candidate_missing_count,candidate_count_trace_mismatch_count,event_candidate_count_trace_mismatch_count,reachability_mismatch_count,output_bytes,checker_wall_time_s,topology_wall_time_min_s,topology_wall_time_median_s,topology_wall_time_max_s,topology_peak_rss_kib,route_recomputation_count,passes_fidelity_gate,all_tested_intervals_fidelity_equivalent
synthetic-351-telesat-t1-compute-117,351,689,0,0,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,112333676,2.755926277000981,3012.781515498,3019.88620133,3054.422299401,165328,1000,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,112333676,2.755926277000981,3012.781515498,3019.88620133,3054.422299401,165328,1000,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,112333676,2.755926277000981,3012.781515498,3019.88620133,3054.422299401,165328,1000,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,56228674,1.579352063999977,1494.281106471,1498.19934821,1735.789264873,164868,500,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,56228674,1.579352063999977,1494.281106471,1498.19934821,1735.789264873,164868,500,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,56228674,1.579352063999977,1494.281106471,1498.19934821,1735.789264873,164868,500,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,5,201,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,22565674,0.8825380130001577,573.878217706,583.715033643,585.987176483,164780,200,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,5,201,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,22565674,0.8825380130001577,573.878217706,583.715033643,585.987176483,164780,200,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,5,201,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,22565674,0.8825380130001577,573.878217706,583.715033643,585.987176483,164780,200,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,10,101,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,11344677,0.24534132400003728,280.799951698,282.694056115,286.028411606,164668,100,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,10,101,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,11344677,0.24534132400003728,280.799951698,282.694056115,286.028411606,164668,100,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,10,101,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,11344677,0.24534132400003728,280.799951698,282.694056115,286.028411606,164668,100,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,20,51,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,5734175,0.12479547900147736,141.676736606,141.885884175,142.851748892,164396,50,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,20,51,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,5734175,0.12479547900147736,141.676736606,141.885884175,142.851748892,164396,50,True,True
synthetic-351-telesat-t1-compute-117,351,689,0,0,20,51,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,5734175,0.12479547900147736,141.676736606,141.885884175,142.851748892,164396,50,True,True
synthetic-351-telesat-t1-compute-117,351,689,1,2109,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,112333685,2.749846318998607,,,,,1000,True,True
synthetic-351-telesat-t1-compute-117,351,689,1,2109,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,112333685,2.749846318998607,,,,,1000,True,True
synthetic-351-telesat-t1-compute-117,351,689,1,2109,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,112333685,2.749846318998607,,,,,1000,True,True
synthetic-351-telesat-t1-compute-117,351,689,1,2109,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-first,0,1.0,0,1.0,0,0,0,0,56228683,2.029095062003762,,,,,500,True,True
synthetic-351-telesat-t1-compute-117,351,689,1,2109,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.8914285714285715,0.8914285714285715,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,56228683,2.029095062003762,,,,,500,True,True
